"individual" "replicate" "well" "batch" "sample_id"
"344" "NA19239" "r1" "A01" "NA19239.r1" "NA19239.r1.A01"
"345" "NA19239" "r1" "A03" "NA19239.r1" "NA19239.r1.A03"
"346" "NA19239" "r1" "A05" "NA19239.r1" "NA19239.r1.A05"
"347" "NA19239" "r1" "A06" "NA19239.r1" "NA19239.r1.A06"
"348" "NA19239" "r1" "A07" "NA19239.r1" "NA19239.r1.A07"
"349" "NA19239" "r1" "A08" "NA19239.r1" "NA19239.r1.A08"
"350" "NA19239" "r1" "A09" "NA19239.r1" "NA19239.r1.A09"
"351" "NA19239" "r1" "A10" "NA19239.r1" "NA19239.r1.A10"
"352" "NA19239" "r1" "A11" "NA19239.r1" "NA19239.r1.A11"
"353" "NA19239" "r1" "B02" "NA19239.r1" "NA19239.r1.B02"
"354" "NA19239" "r1" "B03" "NA19239.r1" "NA19239.r1.B03"
"355" "NA19239" "r1" "B05" "NA19239.r1" "NA19239.r1.B05"
"356" "NA19239" "r1" "B06" "NA19239.r1" "NA19239.r1.B06"
"357" "NA19239" "r1" "B07" "NA19239.r1" "NA19239.r1.B07"
"358" "NA19239" "r1" "B08" "NA19239.r1" "NA19239.r1.B08"
"359" "NA19239" "r1" "B09" "NA19239.r1" "NA19239.r1.B09"
"360" "NA19239" "r1" "B10" "NA19239.r1" "NA19239.r1.B10"
"361" "NA19239" "r1" "B11" "NA19239.r1" "NA19239.r1.B11"
"362" "NA19239" "r1" "B12" "NA19239.r1" "NA19239.r1.B12"
"363" "NA19239" "r1" "C01" "NA19239.r1" "NA19239.r1.C01"
"364" "NA19239" "r1" "C02" "NA19239.r1" "NA19239.r1.C02"
"365" "NA19239" "r1" "C03" "NA19239.r1" "NA19239.r1.C03"
"366" "NA19239" "r1" "C05" "NA19239.r1" "NA19239.r1.C05"
"367" "NA19239" "r1" "C06" "NA19239.r1" "NA19239.r1.C06"
"368" "NA19239" "r1" "C08" "NA19239.r1" "NA19239.r1.C08"
"369" "NA19239" "r1" "C09" "NA19239.r1" "NA19239.r1.C09"
"370" "NA19239" "r1" "C10" "NA19239.r1" "NA19239.r1.C10"
"371" "NA19239" "r1" "C11" "NA19239.r1" "NA19239.r1.C11"
"372" "NA19239" "r1" "C12" "NA19239.r1" "NA19239.r1.C12"
"373" "NA19239" "r1" "D01" "NA19239.r1" "NA19239.r1.D01"
"374" "NA19239" "r1" "D02" "NA19239.r1" "NA19239.r1.D02"
"375" "NA19239" "r1" "D03" "NA19239.r1" "NA19239.r1.D03"
"376" "NA19239" "r1" "D04" "NA19239.r1" "NA19239.r1.D04"
"377" "NA19239" "r1" "D05" "NA19239.r1" "NA19239.r1.D05"
"378" "NA19239" "r1" "D06" "NA19239.r1" "NA19239.r1.D06"
"379" "NA19239" "r1" "D08" "NA19239.r1" "NA19239.r1.D08"
"380" "NA19239" "r1" "D09" "NA19239.r1" "NA19239.r1.D09"
"381" "NA19239" "r1" "D10" "NA19239.r1" "NA19239.r1.D10"
"382" "NA19239" "r1" "D11" "NA19239.r1" "NA19239.r1.D11"
"383" "NA19239" "r1" "D12" "NA19239.r1" "NA19239.r1.D12"
"384" "NA19239" "r1" "E01" "NA19239.r1" "NA19239.r1.E01"
"385" "NA19239" "r1" "E02" "NA19239.r1" "NA19239.r1.E02"
"386" "NA19239" "r1" "E03" "NA19239.r1" "NA19239.r1.E03"
"387" "NA19239" "r1" "E04" "NA19239.r1" "NA19239.r1.E04"
"388" "NA19239" "r1" "E06" "NA19239.r1" "NA19239.r1.E06"
"389" "NA19239" "r1" "E07" "NA19239.r1" "NA19239.r1.E07"
"390" "NA19239" "r1" "E08" "NA19239.r1" "NA19239.r1.E08"
"391" "NA19239" "r1" "E09" "NA19239.r1" "NA19239.r1.E09"
"392" "NA19239" "r1" "E10" "NA19239.r1" "NA19239.r1.E10"
"393" "NA19239" "r1" "E11" "NA19239.r1" "NA19239.r1.E11"
"394" "NA19239" "r1" "E12" "NA19239.r1" "NA19239.r1.E12"
"395" "NA19239" "r1" "F01" "NA19239.r1" "NA19239.r1.F01"
"396" "NA19239" "r1" "F02" "NA19239.r1" "NA19239.r1.F02"
"397" "NA19239" "r1" "F03" "NA19239.r1" "NA19239.r1.F03"
"398" "NA19239" "r1" "F04" "NA19239.r1" "NA19239.r1.F04"
"399" "NA19239" "r1" "F06" "NA19239.r1" "NA19239.r1.F06"
"400" "NA19239" "r1" "F07" "NA19239.r1" "NA19239.r1.F07"
