individual	replicate	well	batch	sample_id
NA19098	r1	A01	NA19098.r1	NA19098.r1.A01
NA19098	r1	A02	NA19098.r1	NA19098.r1.A02
NA19098	r1	A04	NA19098.r1	NA19098.r1.A04
NA19098	r1	A05	NA19098.r1	NA19098.r1.A05
NA19098	r1	A06	NA19098.r1	NA19098.r1.A06
NA19098	r1	A07	NA19098.r1	NA19098.r1.A07
NA19098	r1	A08	NA19098.r1	NA19098.r1.A08
NA19098	r1	A09	NA19098.r1	NA19098.r1.A09
NA19098	r1	A10	NA19098.r1	NA19098.r1.A10
NA19098	r1	A11	NA19098.r1	NA19098.r1.A11
NA19098	r1	A12	NA19098.r1	NA19098.r1.A12
NA19098	r1	B01	NA19098.r1	NA19098.r1.B01
NA19098	r1	B02	NA19098.r1	NA19098.r1.B02
NA19098	r1	B03	NA19098.r1	NA19098.r1.B03
NA19098	r1	B05	NA19098.r1	NA19098.r1.B05
NA19098	r1	B06	NA19098.r1	NA19098.r1.B06
NA19098	r1	B07	NA19098.r1	NA19098.r1.B07
NA19098	r1	B08	NA19098.r1	NA19098.r1.B08
NA19098	r1	B09	NA19098.r1	NA19098.r1.B09
NA19098	r1	B11	NA19098.r1	NA19098.r1.B11
NA19098	r1	B12	NA19098.r1	NA19098.r1.B12
NA19098	r1	C01	NA19098.r1	NA19098.r1.C01
NA19098	r1	C02	NA19098.r1	NA19098.r1.C02
NA19098	r1	C03	NA19098.r1	NA19098.r1.C03
NA19098	r1	C04	NA19098.r1	NA19098.r1.C04
NA19098	r1	C05	NA19098.r1	NA19098.r1.C05
NA19098	r1	C06	NA19098.r1	NA19098.r1.C06
NA19098	r1	C07	NA19098.r1	NA19098.r1.C07
NA19098	r1	C08	NA19098.r1	NA19098.r1.C08
NA19098	r1	C09	NA19098.r1	NA19098.r1.C09
NA19098	r1	C10	NA19098.r1	NA19098.r1.C10
NA19098	r1	C11	NA19098.r1	NA19098.r1.C11
NA19098	r1	C12	NA19098.r1	NA19098.r1.C12
NA19098	r1	D01	NA19098.r1	NA19098.r1.D01
NA19098	r1	D02	NA19098.r1	NA19098.r1.D02
NA19098	r1	D03	NA19098.r1	NA19098.r1.D03
NA19098	r1	D04	NA19098.r1	NA19098.r1.D04
NA19098	r1	D05	NA19098.r1	NA19098.r1.D05
NA19098	r1	D06	NA19098.r1	NA19098.r1.D06
NA19098	r1	D07	NA19098.r1	NA19098.r1.D07
NA19098	r1	D08	NA19098.r1	NA19098.r1.D08
NA19098	r1	D09	NA19098.r1	NA19098.r1.D09
NA19098	r1	D10	NA19098.r1	NA19098.r1.D10
NA19098	r1	D11	NA19098.r1	NA19098.r1.D11
NA19098	r1	D12	NA19098.r1	NA19098.r1.D12
NA19098	r1	E01	NA19098.r1	NA19098.r1.E01
NA19098	r1	E02	NA19098.r1	NA19098.r1.E02
NA19098	r1	E03	NA19098.r1	NA19098.r1.E03
NA19098	r1	E05	NA19098.r1	NA19098.r1.E05
NA19098	r1	E06	NA19098.r1	NA19098.r1.E06
NA19098	r1	E07	NA19098.r1	NA19098.r1.E07
NA19098	r1	E08	NA19098.r1	NA19098.r1.E08
NA19098	r1	E09	NA19098.r1	NA19098.r1.E09
NA19098	r1	E10	NA19098.r1	NA19098.r1.E10
NA19098	r1	E11	NA19098.r1	NA19098.r1.E11
NA19098	r1	E12	NA19098.r1	NA19098.r1.E12
NA19098	r1	F02	NA19098.r1	NA19098.r1.F02
NA19098	r1	F03	NA19098.r1	NA19098.r1.F03
NA19098	r1	F07	NA19098.r1	NA19098.r1.F07
NA19098	r1	F08	NA19098.r1	NA19098.r1.F08
NA19098	r1	F09	NA19098.r1	NA19098.r1.F09
NA19098	r1	F10	NA19098.r1	NA19098.r1.F10
NA19098	r1	F11	NA19098.r1	NA19098.r1.F11
NA19098	r1	F12	NA19098.r1	NA19098.r1.F12
NA19098	r1	G01	NA19098.r1	NA19098.r1.G01
NA19098	r1	G02	NA19098.r1	NA19098.r1.G02
NA19098	r1	G03	NA19098.r1	NA19098.r1.G03
NA19098	r1	G04	NA19098.r1	NA19098.r1.G04
NA19098	r1	G05	NA19098.r1	NA19098.r1.G05
NA19098	r1	G06	NA19098.r1	NA19098.r1.G06
NA19098	r1	G07	NA19098.r1	NA19098.r1.G07
NA19098	r1	G08	NA19098.r1	NA19098.r1.G08
NA19098	r1	G09	NA19098.r1	NA19098.r1.G09
NA19098	r1	G10	NA19098.r1	NA19098.r1.G10
NA19098	r1	G11	NA19098.r1	NA19098.r1.G11
NA19098	r1	G12	NA19098.r1	NA19098.r1.G12
NA19098	r1	H01	NA19098.r1	NA19098.r1.H01
NA19098	r1	H02	NA19098.r1	NA19098.r1.H02
NA19098	r1	H03	NA19098.r1	NA19098.r1.H03
NA19098	r1	H04	NA19098.r1	NA19098.r1.H04
